,B1_mean,B1_std,B1_p2p,B1_impulse,B2_mean,B2_std,B2_p2p,B2_impulse,B3_mean,B3_std,B3_p2p,B3_impulse,B4_mean,B4_std,B4_p2p,B4_impulse
2004-03-04 09:27:46,0.061630011231016586,0.07963225797668581,1.116,9.23251494904221,0.07527833390302248,0.09662739334297812,0.964,7.000686288818629,0.05199086869475958,0.06619263122893793,0.671,6.94352698969977,0.043474583719906465,0.05532524988177173,0.5569999999999999,6.969589449139685
2004-03-04 09:32:46,0.06077415889447653,0.07851322241671554,0.952,8.079091655592203,0.0722057717661989,0.09186550227311881,1.016,7.437078600015484,0.05223868352946847,0.06598693512731914,0.59,5.647156093311328,0.042039357390496114,0.052927572632698414,0.46099999999999997,5.923021079677391
2004-03-04 09:42:46,0.0621948337321155,0.07978743385522329,0.9690000000000001,8.280430529297643,0.07288554128619536,0.09340573992028858,1.092,8.177204826670929,0.05480936569168341,0.06917525377661707,0.572,5.21808629584992,0.041359880853555686,0.052607979684282775,0.556,6.721489382049333
2004-03-04 09:52:46,0.06299438449142995,0.08104621125910502,1.072,8.76268582440228,0.07343327310903848,0.09279892061048677,0.989,6.985934008937126,0.05426109673323801,0.0686005123529966,0.659,6.4318640980623165,0.04312637335807286,0.05466921728138984,0.569,6.956300208903208
2004-03-04 10:02:46,0.061945309829581,0.07912774211271187,0.75,6.1505867199337105,0.07300610381366263,0.09282893197078534,1.08,7.697986478424087,0.05323653498705879,0.06743723802141874,0.762,7.288227907663759,0.04261702231554097,0.05380278577246441,0.474,5.795806149270254
2004-03-04 10:12:46,0.06223536305483645,0.07953716954485783,0.915,7.760860968617182,0.07331568924263816,0.09327884363873022,1.115,8.088309693679172,0.05501787196640393,0.0697802573752967,0.727,6.961374300952149,0.042036085746372624,0.053266054212873434,0.571,7.136725379476789
2004-03-04 10:22:46,0.0627453488939884,0.08034721311199261,0.883,7.3471581260769465,0.0746579422823376,0.09521511646927379,1.1429999999999998,7.755370457577939,0.05454211631427282,0.06947878444924362,0.986,11.092345528251549,0.043537575076906955,0.05523456851470386,0.579,7.740440284161585
2004-03-04 10:32:46,0.0610963914253622,0.07846201695173761,0.859,8.151054233839274,0.07284847892963511,0.09275290515659215,1.0979999999999999,7.838186992916257,0.05285365496362061,0.06700694460459017,0.713,6.7923400992249485,0.04239621075247664,0.053782105652747464,0.473,5.637296252614709
2004-03-04 10:42:46,0.06202631964451405,0.08009101488249251,0.942,8.496393192766368,0.07459763660334956,0.09489915980414572,1.2469999999999999,9.651780308113283,0.05535870892133342,0.0700486377714029,0.6539999999999999,6.394657803581472,0.043536598466720575,0.0551703168387452,0.5740000000000001,6.729969963638053
2004-03-04 10:52:46,0.06096113091459577,0.07830388941884667,0.835,7.201309972661471,0.07398491137262543,0.09416148315269872,0.9470000000000001,7.055492671619812,0.054706919283167815,0.06932940895086656,0.759,7.311689366560104,0.042707309927240915,0.054250224479226485,0.525,6.298687518794482
2004-03-04 11:02:46,0.06174222374139265,0.07932246925940503,0.8979999999999999,7.822847489637656,0.07506523756042735,0.09543919323006733,0.9909999999999999,7.513464532047623,0.05414063186678953,0.06844430761198009,0.632,5.910533160886354,0.04284344938717569,0.05410130400799023,0.505,5.975242508756271
2004-03-04 11:12:46,0.06218868108794382,0.07955568151116964,1.04,9.583737580109947,0.0740731481029342,0.09385145186843914,0.952,6.493581173728278,0.05481869231896013,0.06938033919541219,0.728,7.04139379600805,0.04313926461252826,0.054557214091178426,0.594,7.139667371857618
