,B1_x_mean,B1_x_std,B1_x_p2p,B1_x_impulse,B1_y_mean,B1_y_std,B1_y_p2p,B1_y_impulse,B2_x_mean,B2_x_std,B2_x_p2p,B2_x_impulse,B2_y_mean,B2_y_std,B2_y_p2p,B2_y_impulse,B3_x_mean,B3_x_std,B3_x_p2p,B3_x_impulse,B3_y_mean,B3_y_std,B3_y_p2p,B3_y_impulse,B4_x_mean,B4_x_std,B4_x_p2p,B4_x_impulse,B4_y_mean,B4_y_std,B4_y_p2p,B4_y_impulse
2003-10-22 12:06:24,0.10414785878216577,0.08112446002473203,1.108,6.913248226311998,0.10025274671614601,0.0706505711943794,1.265,6.992327122814898,0.10714727281605542,0.0906501978046057,1.033,6.29040742042111,0.1020041505932894,0.07751107661742591,0.786,5.195867000679357,0.1061485424092972,0.09146520656672369,0.896,4.672697229204317,0.10815034913814177,0.0954899021102532,1.199,7.249167536191559,0.09480252942037912,0.06008690094579486,0.6619999999999999,4.356423847813705,0.09951311099174552,0.06638240883737173,0.845,4.733044674274818
2003-10-22 12:09:13,0.10365130133307263,0.07951915125653536,1.042,6.309616874933768,0.09985399677718516,0.06953237800287225,1.072,5.818495190497452,0.10818902290150831,0.09026211048387045,0.9359999999999999,5.961787829317828,0.10291996679525246,0.07674205282044781,0.867,6.072679767215298,0.10666092094340458,0.09173657746074011,1.059,5.306535842685303,0.10845846965183814,0.09438592734198338,0.9929999999999999,5.310788561271554,0.09507007178084655,0.05942276149203446,0.796,4.4177940768591695,0.09358694272181106,0.0647470023602699,0.9,6.699652555846057
2003-10-22 12:14:13,0.10503872259387531,0.0802202674454308,0.94,5.931146006114191,0.10154265344987368,0.06946635036391319,1.018,5.406594976080793,0.10854343473802402,0.09023538435032989,0.952,5.647508773603043,0.10404179891596153,0.07710005305581673,0.718,4.152177341233235,0.10874022169051152,0.0918171278457766,0.987,5.526933738562004,0.10987538454026002,0.09405534762000183,0.984,5.642756133179425,0.09615777137555355,0.05997077945426486,0.657,4.118231884278842,0.09829854973387152,0.06525607097832894,0.977,6.11402713088969
2003-10-22 12:19:13,0.104900141608476,0.08082789199171027,1.055,5.700659606656634,0.10157331900971574,0.07126754477427533,1.009,5.267131223198741,0.10815152107036474,0.09027656412773637,0.8839999999999999,5.529279607736017,0.1033777528199605,0.07653113696330201,0.727,4.672185134853703,0.10806826505200438,0.09238598548045672,0.8740000000000001,5.1078825012538855,0.11001010791542495,0.09650841991320575,1.036,6.217610481082836,0.09681385809853772,0.059918235972501635,0.591,4.059336211970835,0.0986017871966387,0.06630428478131055,0.8520000000000001,5.324447101075436
2003-10-22 12:24:13,0.10477860247082281,0.0820375404021458,1.0110000000000001,5.945870486042069,0.10218111235900035,0.0721489925755652,0.923,5.255374379888514,0.10794330777870006,0.08886574304552178,1.0739999999999998,6.716488635741629,0.10262947409541347,0.07604673618793203,0.837,5.563703848556679,0.10845397724498233,0.09193610428103788,0.998,4.859203999587594,0.10934962644660358,0.09504738514676864,1.055,5.697321703281872,0.09635758581961792,0.059257440064578296,0.591,3.9021318020967715,0.09847082377068972,0.06628102077620263,0.871,5.301062589012032
2003-10-22 12:29:13,0.10523145661409183,0.08173142902738784,0.996,5.359614112995877,0.10172996728355743,0.07184707418308785,1.294,6.910451450755804,0.10768069729967258,0.08987144732954203,1.023,6.509987561179467,0.1023103178866139,0.07628358575526084,0.6639999999999999,4.173577101707626,0.10850832560183535,0.09353829409844172,0.876,4.81069076593668,0.11045021729576565,0.09630406051602483,1.0230000000000001,5.061103669023117,0.10697182479613068,0.05860804114200455,0.559,3.7393023888517285,0.0981802822403418,0.06540384797527163,0.681,4.379698144963318
2003-10-22 12:34:13,0.1050312515259525,0.08131517332356702,1.106,6.350490833056378,0.10104375213633236,0.0707894778615513,0.881,4.948351475758536,0.10827496459788083,0.09065980309366761,0.859,5.522975714846866,0.10279124957273209,0.07679067201139482,0.72,4.514002912978377,0.10836578934518278,0.09215533960949414,0.8180000000000001,4.6878263247992695,0.10962161238341622,0.09513896179722735,0.984,5.436884087376953,0.05172244738512496,0.06349435681768838,0.64,6.418876460503319,0.09706572586551844,0.06471420051747376,0.749,4.800870707397054
2003-10-22 12:39:13,0.10477469603007789,0.08022976366057681,0.984,5.755206389020643,0.10137726451486738,0.07094217239059439,0.942,4.981393041296156,0.10730099125933838,0.08876291106256691,0.877,5.7129015566913575,0.10293974315151892,0.07645650122240695,0.839,5.712079533115911,0.10792641242248038,0.0916531751785963,1.167,5.772451673472221,0.1097424678939393,0.09581905617026579,0.979,5.512906822768946,0.10254480199228255,0.05840746178249287,0.591,3.881230372164093,0.09795385516870722,0.06492919003698998,0.788,5.431128760412027
2003-10-22 12:44:13,0.10517222520630835,0.08080931746770913,1.109,6.617716784395402,0.10175423604668038,0.07180451084337094,1.043,5.690180797331918,0.10840749060012635,0.08871428758350995,0.8979999999999999,5.6269174447553265,0.10315523218907029,0.07601444016689485,0.708,4.643487197256796,0.10857766492504477,0.09107732746618803,0.9209999999999999,5.286538445970943,0.108821817471555,0.09360688436083588,1.025,6.3682082885736,0.06754958738219653,0.060298534509719184,0.627,5.743928498107478,0.09769603007959125,0.06423132769571743,0.954,5.1690943796650215
2003-10-22 12:49:13,0.10438307534547497,0.08125024496268239,1.104,5.987560703030138,0.10131153864934632,0.07143810690499039,0.994,5.280741040284773,0.1069277796767418,0.08853257450884844,0.784,4.591884367975883,0.10247468138092608,0.07577194878677654,0.8400000000000001,5.289111346296746,0.10819229454563191,0.09197976997364384,0.97,4.944899285543435,0.10951701743249113,0.09558276500130321,1.123,5.9990676828374205,0.08474984130084383,0.05982799422475687,0.6819999999999999,4.672575121341934,0.0980015625762962,0.06597661469499433,0.747,4.734618385689173
